accession	start	end	strand	matching_mode	reference_id	reference_start	reference_end	reference_product	PhageMine_product	PhageMine_category	PhageMine_review_notes	Pharokka_product	Pharokka_category	Pharokka_review_notes
NC_000866.4	40799	41038	-	relaxed	NP_049682.1	40799	41038	gp55.3 hypothetical protein	uncharacterized 9.2 kda protein in gp55-nrdg intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	41039	41170	-	relaxed	NP_049683.1	41039	41170	gp55.4 conserved hypothetical protein	uncharacterized 5.1 kda protein in gp55-nrdg intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	41178	41471	-	relaxed	NP_049684.1	41178	41471	gp55.5 conserved protein of unknown function	uncharacterized 11.8 kda protein in gp55-nrdg intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	41464	41646	-	relaxed	NP_049685.1	41464	41646	gp55.6 conserved hypothetical protein	uncharacterized 7.0 kda protein in gp55-nrdg intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	41805	42113	-	relaxed	NP_049686.1	41805	42113	NrdH glutaredoxin	uncharacterized 11.8 kda protein in gp55-nrdg intergenic region	ABSTENTION		thioredoxin domain	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	42116	42328	-	relaxed	NP_049687.1	42116	42328	gp55.8 conserved hypothetical predicted membrane protein	uncharacterized 7.9 kda protein in gp55-nrdg intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	42446	42916	-	relaxed	NP_049688.1	42446	42916	anaerobic ribonucleotide reductase small subunit	anaerobic ribonucleoside-triphosphate reductase-activating protein	UNRESOLVED_REVIEW_REQUIRED		anaerobic ribonucleotide reductase small subunit	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	42906	43538	-	relaxed	NP_049689.1	42906	43538	homing endonuclease	probable mobile endonuclease c	UNRESOLVED_REVIEW_REQUIRED		homing endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	44836	45612	-	relaxed	NP_049691.2	44836	45612	I-TevII homing endonuclease	intron-associated endonuclease 2	UNRESOLVED_REVIEW_REQUIRED		homing endonuclease	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	46382	46855	-	relaxed	NP_049692.1	46382	46855	endonuclease VII	recombination endonuclease vii	UNRESOLVED_REVIEW_REQUIRED		endonuclease VII	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	46897	47382	-	relaxed	NP_049694.1	46897	47382	inhibitor of host Lon protease	host protease inhibitor	UNRESOLVED_REVIEW_REQUIRED		inhibitor of host Lon protease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	47366	47521	-	relaxed	NP_049695.1	47366	47521	gp49.1 conserved protein of unknown function	uncharacterized 6.2 kda protein in pin-nrdc intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	47506	47826	-	relaxed	NP_049696.1	47506	47826	ribonucleotide reductase	uncharacterized 12.6 kda protein in pin-nrdc intergenic region	ABSTENTION		ribonucleotide reductase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	47823	48131	-	relaxed	NP_049697.1	47823	48131	gp49.3 hypothetical protein	uncharacterized 11.9 kda protein in pin-nrdc intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	48128	48391	-	relaxed	NP_049698.1	48128	48391	NrdC thioredoxin	glutaredoxin	UNRESOLVED_REVIEW_REQUIRED		thioredoxin domain	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	48393	48635	-	relaxed	NP_049699.1	48393	48635	hypothetical protein	uncharacterized 9.4 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	48622	48936	-	relaxed	NP_049700.1	48622	48936	hypothetical protein	uncharacterized 12.2 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	48933	49859	-	relaxed	NP_049701.1	48933	49859	hypothetical protein	uncharacterized 36.3 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	49914	50915	-	relaxed	NP_049702.1	49914	50915	hypothetical protein	uncharacterized 39.0 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	50973	51995	-	relaxed	NP_049703.1	50973	51995	NrdC.5 conserved hypothetical protein	uncharacterized 39.7 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	52066	52893	-	relaxed	NP_049704.1	52066	52893	hypothetical protein	uncharacterized 31.7 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	52901	53302	-	relaxed	NP_049705.1	52901	53302	NrdC.7 conserved hypothetical, predicted membrane protein	uncharacterized 15.3 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	53358	53885	-	relaxed	NP_049706.1	53358	53885	hypothetical protein	uncharacterized 20.7 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	53946	54248	-	relaxed	NP_049707.1	53946	54248	NrdC.9 conserved hypothetical protein	uncharacterized 12.0 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	54343	55320	-	relaxed	NP_049708.1	54343	55320	hypothetical protein	uncharacterized 36.7 kda protein in nrdc-mobd intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	55435	56469	-	relaxed	NP_049709.1	55435	56445	nucleotidyltransferase	uncharacterized 38.9 kda protein in nrdc-mobd intergenic region	ABSTENTION		nucleotidyltransferase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	56429	57208	-	relaxed	NP_049710.1	56429	57208	homing endonuclease	probable mobile endonuclease d	UNRESOLVED_REVIEW_REQUIRED		homing endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	57283	57828	-	relaxed	NP_049711.1	57283	57828	MobD.1 conserved hypothetical protein	uncharacterized 21.1 kda protein in mobd-ri intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	58049	58165	-	relaxed	NP_813809.1	58049	58165	MobD.2a hypothetical protein	conserved phage protein of unknown function	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	58155	58349	-	relaxed	NP_049713.1	58155	58349	MobD.3 hypothetical protein	uncharacterized 7.6 kda protein in mobd-ri intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	58352	58534	-	relaxed	NP_049714.1	58352	58534	molybdopterin-guanine dinucleotide biosynthesis protein MobD	uncharacterized 6.8 kda protein in mobd-ri intergenic region	ABSTENTION		hypothetical protein	ABSTENTION	
NC_000866.4	58534	58722	-	relaxed	NP_049715.1	58534	58722	MobD.5 hypothetical protein	uncharacterized 7.1 kda protein in mobd-ri intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	58819	59205	-	relaxed	NP_049716.1	58819	59205	starvation-inducible transcriptional regulator	uncharacterized 14.6 kda protein in mobd-ri intergenic region	ABSTENTION		starvation-inducible transcriptional regulator	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	59202	59495	-	relaxed	NP_049717.1	59202	59495	lysis inhibition	antiholin	UNRESOLVED_REVIEW_REQUIRED		lysis inhibition	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	59508	59720	-	relaxed	NP_049718.1	59508	59720	rI.1 conserved hypothetical protein	uncharacterized 8.3 kda protein in ri-tk intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	59763	60344	-	relaxed	NP_049719.1	59763	60344	thymidine kinase	thymidine kinase	EXACT_PRODUCT_AGREEMENT		thymidine kinase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	60346	60534	-	relaxed	NP_049720.1	60346	60534	Tk.1 conserved hypothetical protein	uncharacterized 7.2 kda protein in tk-vs intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	60531	60722	-	relaxed	NP_049721.1	60531	60716	Tk.2 conserved hypothetical protein	uncharacterized 7.1 kda protein in tk-vs intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	60713	60925	-	relaxed	NP_049722.1	60713	60925	Tk.2 conserved hypothetical protein	uncharacterized 8.5 kda protein in tk-vs intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	60922	61389	-	relaxed	NP_049723.1	60922	61389	phosphatase	uncharacterized 17.5 kda protein in tk-vs intergenic region	ABSTENTION		phosphatase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	61386	61733	-	relaxed	NP_049724.1	61386	61733	valyl tRNA synthetase modifier	valyl--trna ligase modifier	UNRESOLVED_REVIEW_REQUIRED		valyl tRNA synthetase modifier	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	61726	62271	-	relaxed	NP_049725.1	61726	62271	hypothetical protein	uncharacterized 20.7 kda protein in vs-regb intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	62279	62740	-	relaxed	NP_049726.1	62279	62740	endoribonuclease	endoribonuclease regb	UNRESOLVED_REVIEW_REQUIRED		endoribonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	62800	63078	-	relaxed	NP_049727.1	62800	63078	Vs.3 conserved hypothetical protein	uncharacterized 10.9 kda protein in regb-denv intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	63078	63344	-	relaxed	NP_049728.1	63078	63344	Vs.4 conserved hypothetical protein	anti-cbass protein 2	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	63557	63919	-	relaxed	NP_049730.1	63557	63919	autonomous glycyl radical cofactor GrcA	autonomous glycyl radical cofactor	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_000866.4	63927	64256	-	relaxed	NP_049731.1	63927	64256	hypothetical protein	uncharacterized 12.8 kda protein in regb-denv intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	64253	64912	-	relaxed	NP_049732.1	64253	64912	hypothetical protein	uncharacterized 25.0 kda protein in regb-denv intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	64939	65355	-	relaxed	NP_049733.1	64939	65355	endonuclease V N-glycosylase UV repair enzyme	endonuclease v	UNRESOLVED_REVIEW_REQUIRED		endonuclease V N-glycosylase UV repair enzyme	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	65416	65718	-	relaxed	NP_049734.1	65416	65718	internal virion protein	internal protein ii	UNRESOLVED_REVIEW_REQUIRED		internal virion protein	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	65834	66415	-	relaxed	NP_049735.1	65834	66415	internal virion protein	internal protein iii	UNRESOLVED_REVIEW_REQUIRED		internal virion protein	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	66503	66997	-	relaxed	NP_049736.1	66503	66997	glycoside hydrolase family protein	endolysin	UNRESOLVED_REVIEW_REQUIRED		hypothetical protein	ABSTENTION	
NC_000866.4	67035	67490	-	relaxed	NP_049737.1	67035	67490	nudix hydrolase	uncharacterized 17.7 kda protein in e-segb intergenic region	ABSTENTION		nudix hydrolase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	67652	67960	-	relaxed	NP_049738.1	67652	67960	hypothetical protein	uncharacterized 12.2 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	67957	68319	-	relaxed	NP_049739.1	67957	68319	hypothetical protein	uncharacterized 14.2 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	68301	68693	-	relaxed	NP_049740.1	68301	68693	hypothetical protein	uncharacterized 15.1 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	68662	69270	-	relaxed	NP_049741.1	68662	69270	e.5 conserved hypothetical protein	uncharacterized 23.8 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	69312	69905	-	relaxed	NP_049742.1	69312	69905	e.6 conserved hypothetical protein	uncharacterized 22.0 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	69968	70303	-	relaxed	NP_049743.1	69968	70303	e.7 hypothetical protein	uncharacterized 13.1 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	70360	70623	-	relaxed	NP_049744.1	70360	70623	e.8 conserved hypothetical protein	uncharacterized 10.2 kda protein in e-segb intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	71253	71918	-	relaxed	NP_049745.2	71253	71918	homing endonuclease	putative endonuclease segb	UNRESOLVED_REVIEW_REQUIRED		homing endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	72628	72915	-	relaxed	NP_049746.1	72628	72915	Trna.2 conserved hypothetical protein	uncharacterized 11.2 kda protein in segb-ipi intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	72918	73328	-	relaxed	NP_049747.1	72918	73328	Trna.3 conserved hypothetical protein	uncharacterized 16.0 kda protein in segb-ipi intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	73329	73514	-	relaxed	NP_049748.1	73329	73514	hypothetical protein	uncharacterized 6.6 kda protein in segb-ipi intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	73591	73878	-	relaxed	NP_049749.1	73591	73878	internal virion protein	internal protein i	UNRESOLVED_REVIEW_REQUIRED		internal virion protein	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	73952	74410	-	relaxed	NP_049750.1	73952	74410	RNA ligase	anti-cbass protein acb1	UNRESOLVED_REVIEW_REQUIRED		RNA ligase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	74407	74649	-	relaxed	NP_049751.1	74407	74649	tail fiber chaperone	tail fiber assembly helper protein	UNRESOLVED_REVIEW_REQUIRED		tail fiber chaperone	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	74649	75374	-	relaxed	NP_049752.1	74649	75374	deoxynucleoside monophosphate kinase	deoxynucleotide monophosphate kinase	UNRESOLVED_REVIEW_REQUIRED		deoxynucleoside monophosphate kinase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	75424	75954	-	relaxed	NP_049753.1	75424	75954	tail protein	tail tube terminator protein	UNRESOLVED_REVIEW_REQUIRED		tail tube	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	76061	76885	-	relaxed	NP_049754.1	76061	76885	DNA end protector	terminal dna protecting protein	UNRESOLVED_REVIEW_REQUIRED		DNA end protector	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	76885	77337	-	relaxed	NP_049755.1	76885	77337	head closure	head completion nuclease	UNRESOLVED_REVIEW_REQUIRED		head closure	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	77385	77975	+	relaxed	NP_049756.1	77385	77975	baseplate wedge subunit	baseplate wedge protein gp53	UNRESOLVED_REVIEW_REQUIRED		baseplate wedge subunit	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	77959	79686	+	relaxed	NP_049757.1	77959	79686	baseplate hub subunit and tail lysozyme	pre-baseplate central spike protein gp5	UNRESOLVED_REVIEW_REQUIRED		baseplate hub subunit and tail lysozyme	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	79661	80215	+	relaxed	NP_049760.1	79721	80215	hypothetical protein	uncharacterized 18.5 kda protein in repea-segc intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	80196	80618	+	relaxed	NP_049761.1	80196	80618	homing endonuclease	homing endonuclease	EXACT_PRODUCT_AGREEMENT		homing endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	80621	80791	+	relaxed	NP_049762.1	80621	80791	gp5.3 conserved hypothetical protein	hypothetical protein	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	80779	81072	+	relaxed	NP_049763.1	80779	81072	PAAR motif of membran proteins	baseplate puncturing device gp5.4	UNRESOLVED_REVIEW_REQUIRED		PAAR motif of membran proteins	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	81081	83063	+	relaxed	NP_049764.1	81081	83063	baseplate wedge subunit	baseplate wedge protein gp6	UNRESOLVED_REVIEW_REQUIRED		baseplate wedge subunit	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	83060	86158	+	relaxed	NP_049765.1	83060	86158	baseplate wedge subunit	baseplate wedge protein gp7	UNRESOLVED_REVIEW_REQUIRED		baseplate wedge subunit	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	86151	87155	+	relaxed	NP_049766.1	86151	87155	baseplate wedge subunit	baseplate wedge protein gp8	UNRESOLVED_REVIEW_REQUIRED		baseplate wedge subunit	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	87219	88085	+	relaxed	NP_049767.1	87219	88085	baseplate wedge tail fiber protein connector	baseplate protein gp9	UNRESOLVED_REVIEW_REQUIRED		baseplate wedge tail fiber protein connector	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	88085	89893	+	relaxed	NP_049768.1	88085	89893	baseplate wedge subunit	baseplate wedge protein gp10	UNRESOLVED_REVIEW_REQUIRED		baseplate wedge subunit	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	89893	90552	+	relaxed	NP_049769.1	89893	90552	baseplate wedge subunit	baseplate wedge protein gp11	UNRESOLVED_REVIEW_REQUIRED		baseplate wedge subunit	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	90549	92132	+	relaxed	NP_049770.1	90549	92132	tail collar fiber protein	short tail fiber protein gp12	UNRESOLVED_REVIEW_REQUIRED		tail collar fiber protein	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	92129	93592	+	relaxed	NP_049771.1	92129	93592	fibritin neck whisker	fibritin	UNRESOLVED_REVIEW_REQUIRED		fibritin neck whisker	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	93624	94553	+	relaxed	NP_049772.1	93624	94553	head-tail adaptor Ad2	neck protein gp13	UNRESOLVED_REVIEW_REQUIRED		head-tail adaptor Ad2	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	94555	95325	+	relaxed	NP_049773.1	94555	95325	head closure Hc2	neck protein gp14	UNRESOLVED_REVIEW_REQUIRED		head closure Hc2	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	95367	96185	+	relaxed	NP_049774.1	95367	96185	tail sheath stabilizer	tail completion protein gp15	UNRESOLVED_REVIEW_REQUIRED		tail sheath stabilizer	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	96194	96688	+	relaxed	NP_049775.1	96194	96688	terminase small subunit	terminase, small subunit	EXACT_PRODUCT_AGREEMENT		terminase small subunit	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	96672	98504	+	relaxed	NP_049776.1	96672	98504	terminase large subunit	terminase, large subunit	EXACT_PRODUCT_AGREEMENT		terminase large subunit	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	98536	100515	+	relaxed	NP_049780.1	98536	100515	tail sheath	tail sheath protein	UNRESOLVED_REVIEW_REQUIRED		tail sheath	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	100632	101123	+	relaxed	NP_049781.1	100632	101123	tail protein	tail tube protein gp19	UNRESOLVED_REVIEW_REQUIRED		tail tube	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	101207	102781	+	relaxed	NP_049782.1	101207	102781	portal protein	portal protein	EXACT_PRODUCT_AGREEMENT		portal protein	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	102781	103023	+	relaxed	NP_049783.1	102781	103023	prohead	conserved phage protein of unknown function	ABSTENTION		prohead	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	103023	103448	+	relaxed	NP_049784.1	103023	103448	head scaffolding protein	prohead assembly protein gp68	UNRESOLVED_REVIEW_REQUIRED		head scaffolding protein	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	103448	104086	+	relaxed	NP_049785.1	103448	104086	head maturation protease	prohead core protein protease	UNRESOLVED_REVIEW_REQUIRED		head maturation protease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	104117	104926	+	relaxed	NP_049786.1	104117	104926	head scaffolding protein	capsid assembly scaffolding protein	UNRESOLVED_REVIEW_REQUIRED		head scaffolding protein	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	104945	106510	+	relaxed	NP_049787.1	104945	106510	major head protein	major capsid protein	EQUIVALENT_FUNCTION		major head protein	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	106561	107232	-	relaxed	NP_049788.2	106561	107232	homing endonuclease	putative endonuclease segd	UNRESOLVED_REVIEW_REQUIRED		homing endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	107323	108606	+	relaxed	NP_049789.1	107323	108606	capsid vertex protein	capsid vertex protein	EXACT_PRODUCT_AGREEMENT		major head protein	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	108636	109640	-	relaxed	NP_049790.1	108636	109640	RNA ligase	rna ligase 2	UNRESOLVED_REVIEW_REQUIRED		RNA ligase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	109650	109928	-	relaxed	NP_049791.1	109650	109928	gp24.2 conserved hypothetical protein	uncharacterized 11.0 kda protein in gp24-hoc intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	109915	110097	-	relaxed	NP_049792.1	109915	110085	gp24.3 conserved hypothetical protein	uncharacterized 6.6 kda protein in gp24-hoc intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	110187	111317	-	relaxed	NP_049793.1	110187	111317	Hoc-like head decoration	highly immunogenic outer capsid protein	UNRESOLVED_REVIEW_REQUIRED		Hoc-like head decoration	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	111327	112007	-	relaxed	NP_049794.1	111327	112007	minor head protein inhibitor of protease	protein inh	UNRESOLVED_REVIEW_REQUIRED		minor head protein inhibitor of protease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	112057	112674	+	relaxed	NP_049795.1	112057	112674	homing endonuclease	putative endonuclease sege	UNRESOLVED_REVIEW_REQUIRED		homing endonuclease	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	112677	114440	+	relaxed	NP_049796.1	112677	114440	DNA helicase	atp-dependent dna helicase uvsw	UNRESOLVED_REVIEW_REQUIRED		DNA helicase	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	114496	114663	-	relaxed	NP_049797.1	114496	114663	hypothetical protein	uncharacterized 6.1 kda protein in uvsw-uvsy intergenic region	NON_EVALUABLE_REFERENCE		unknown function	NON_EVALUABLE_REFERENCE	
NC_000866.4	114690	114914	-	relaxed	NP_049798.1	114690	114914	UvsY.-1 conserved hypothetical protein	uncharacterized 9.0 kda protein in uvsw-uvsy intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	114914	115327	-	relaxed	NP_049799.2	114914	115327	UvsY-like recombination mediator	recombination protein uvsy	UNRESOLVED_REVIEW_REQUIRED		UvsY-like recombination mediator	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	115404	115802	-	relaxed	NP_049800.1	115404	115802	baseplate wedge subunit	baseplate wedge protein gp25	UNRESOLVED_REVIEW_REQUIRED		baseplate wedge subunit	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	115802	116428	-	relaxed	NP_049801.1	115802	116428	baseplate hub	baseplate hub assembly protein gp26	UNRESOLVED_REVIEW_REQUIRED		baseplate hub	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	116479	117228	+	relaxed	NP_049802.1	116479	117228	baseplate hub assembly protein	baseplate hub assembly protein gp51	UNRESOLVED_REVIEW_REQUIRED		baseplate hub	UNRESOLVED_REVIEW_REQUIRED	
NC_000866.4	117234	118403	+	relaxed	NP_049803.1	117228	118403	baseplate hub	baseplate central spike complex protein gp27	UNRESOLVED_REVIEW_REQUIRED		baseplate hub	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	118348	118881	+	relaxed	NP_049804.2	118348	118881	baseplate hub distal subunit	baseplate hub assembly protein gp28	UNRESOLVED_REVIEW_REQUIRED		baseplate hub distal subunit	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	118878	120650	+	relaxed	NP_049805.1	118878	120650	baseplate hub subunit and tail length	tape measure protein	UNRESOLVED_REVIEW_REQUIRED		baseplate hub subunit and tail length	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	120659	121753	+	relaxed	NP_049806.1	120659	121753	baseplate tail tube cap	baseplate tail-tube junction protein gp48	UNRESOLVED_REVIEW_REQUIRED		baseplate tail tube cap	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	121753	122715	+	relaxed	NP_049807.1	121753	122715	tail tube	baseplate tail-tube junction protein gp54	UNRESOLVED_REVIEW_REQUIRED		tail tube	EXACT_PRODUCT_AGREEMENT	
NC_000866.4	122742	123032	-	relaxed	NP_049808.1	122742	123032	Alt.-3 conserved hypothetical protein	uncharacterized 10.7 kda protein in gp54-alt intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	123065	123268	-	relaxed	NP_049809.1	123065	123268	Alt.-2 hypothetical protein	uncharacterized 7.4 kda protein in gp54-alt intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	123265	123450	-	relaxed	NP_049810.1	123265	123450	Alt.-1 hypothetical protein	uncharacterized 6.6 kda protein in gp54-alt intergenic region	NON_EVALUABLE_REFERENCE		hypothetical protein	NON_EVALUABLE_REFERENCE	
NC_000866.4	123454	125502	-	relaxed	NP_049811.1	123454	125502	Alt-like RNA polymerase ADP-ribosyltransferase	nad(+)--arginine adp-ribosyltransferase	UNRESOLVED_REVIEW_REQUIRED		Alt-like RNA polymerase ADP-ribosyltransferase	EXACT_PRODUCT_AGREEMENT	
